angle_deg,rho_px
0.0,-164.0
0.0,-163.0
0.0,-130.0
0.0,-129.0
0.0,-125.0
0.0,-122.0
0.0,-120.0
0.0,-107.0
0.0,-101.0
0.0,-93.0
0.0,-11.0
0.0,24.0
0.0,54.0
0.0,62.0
0.0,115.0
0.0,116.0
0.0,118.0
0.0,124.0
0.0,125.0
0.0,135.0
0.0,136.0
0.0,137.0
0.0,138.0
0.0,148.0
0.5,-166.0
0.5,-165.0
0.5,-131.0
0.5,-130.0
0.5,-129.0
0.5,-122.0
0.5,-121.0
0.5,-106.0
0.5,-102.0
0.5,-86.0
0.5,-11.0
0.5,23.0
0.5,56.0
0.5,61.0
0.5,115.0
0.5,116.0
0.5,118.0
0.5,119.0
0.5,123.0
0.5,126.0
0.5,133.0
0.5,134.0
0.5,135.0
0.5,138.0
1.0,-166.0
1.0,-131.0
1.0,-127.0
1.0,-120.0
1.0,-119.0
1.0,-106.0
1.0,-102.0
1.0,-87.0
1.0,-14.0
1.0,-13.0
1.0,24.0
1.0,60.0
1.0,106.0
1.0,115.0
1.0,117.0
1.0,118.0
1.0,120.0
1.0,121.0
1.0,122.0
1.0,126.0
1.0,134.0
1.0,138.0
1.0,139.0
1.5,-167.0
1.5,-166.0
1.5,-128.0
1.5,-121.0
1.5,-120.0
1.5,-119.0
1.5,-104.0
1.5,-103.0
1.5,-102.0
1.5,-89.0
1.5,-87.0
1.5,-15.0
1.5,-13.0
1.5,-12.0
1.5,24.0
1.5,107.0
1.5,116.0
1.5,117.0
1.5,118.0
1.5,119.0
1.5,120.0
1.5,121.0
1.5,122.0
1.5,123.0
1.5,133.0
1.5,134.0
1.5,137.0
1.5,138.0
1.5,147.0
2.0,-167.0
2.0,-132.0
2.0,-131.0
2.0,-128.0
2.0,-119.0
2.0,-103.0
2.0,-102.0
2.0,-88.0
2.0,-87.0
2.0,-13.0
2.0,-12.0
2.0,55.0
2.0,107.0
2.0,115.0
2.0,116.0
2.0,117.0
2.0,118.0
2.0,119.0
2.0,121.0
2.0,122.0
2.0,125.0
2.0,126.0
2.0,133.0
2.0,134.0
2.0,135.0
2.0,136.0
2.0,137.0
2.0,138.0
2.5,-164.0
2.5,-132.0
2.5,-128.0
2.5,-127.0
2.5,-123.0
2.5,-120.0
2.5,-104.0
2.5,-88.0
2.5,-87.0
2.5,-86.0
2.5,-15.0
2.5,23.0
2.5,59.0
2.5,107.0
2.5,109.0
2.5,116.0
2.5,117.0
2.5,118.0
2.5,119.0
2.5,121.0
2.5,122.0
2.5,124.0
2.5,127.0
2.5,128.0
2.5,129.0
2.5,132.0
2.5,134.0
2.5,135.0
2.5,138.0
3.0,-169.0
3.0,-131.0
3.0,-128.0
3.0,-127.0
3.0,-104.0
3.0,-103.0
3.0,-102.0
3.0,-14.0
3.0,24.0
3.0,107.0
3.0,110.0
3.0,116.0
3.0,117.0
3.0,118.0
3.0,119.0
3.0,122.0
3.0,123.0
3.0,124.0
3.0,126.0
3.0,133.0
3.0,137.0
3.5,-165.0
3.5,-126.0
3.5,-120.0
3.5,-115.0
3.5,-104.0
3.5,47.0
3.5,108.0
3.5,118.0
3.5,119.0
3.5,120.0
3.5,121.0
3.5,126.0
3.5,128.0
3.5,129.0
3.5,132.0
3.5,138.0
4.0,-166.0
4.0,-165.0
4.0,-127.0
4.0,-126.0
4.0,-119.0
4.0,-105.0
4.0,-104.0
4.0,-103.0
4.0,-102.0
4.0,-15.0
4.0,-14.0
4.0,24.0
4.0,107.0
4.0,112.0
4.0,117.0
4.0,118.0
4.0,119.0
4.0,121.0
4.0,122.0
4.0,123.0
4.0,126.0
4.0,128.0
4.0,130.0
4.0,133.0
4.0,138.0
4.5,-172.0
4.5,-167.0
4.5,-166.0
4.5,-126.0
4.5,-120.0
4.5,-119.0
4.5,-104.0
4.5,-103.0
4.5,-15.0
4.5,24.0
4.5,52.0
4.5,77.0
4.5,117.0
4.5,118.0
4.5,119.0
4.5,120.0
4.5,121.0
