angle_deg,rho_px
0.0,-164.0
0.0,-120.0
0.0,-93.0
0.0,61.0
0.0,115.0
0.0,116.0
0.0,135.0
2.0,-122.0
2.0,-106.0
2.0,-103.0
2.0,118.0
2.0,119.0
2.0,120.0
2.0,125.0
2.0,138.0
4.0,-103.0
4.0,112.0
4.0,117.0
4.0,118.0
4.0,120.0
4.0,121.0
4.0,122.0
4.0,125.0
4.0,126.0
4.0,130.0
6.0,120.0
6.0,121.0
6.0,125.0
6.0,129.0
8.0,-93.0
8.0,119.0
8.0,121.0
8.0,125.0
8.0,130.0
8.0,132.0
8.0,133.0
10.0,-185.0
10.0,-184.0
10.0,-129.0
10.0,119.0
10.0,120.0
10.0,121.0
10.0,122.0
10.0,123.0
10.0,124.0
10.0,127.0
10.0,128.0
10.0,129.0
12.0,-188.0
12.0,-186.0
12.0,-134.0
12.0,121.0
12.0,122.0
12.0,123.0
12.0,124.0
12.0,125.0
12.0,126.0
12.0,127.0
14.0,-160.0
14.0,121.0
14.0,122.0
14.0,123.0
14.0,124.0
14.0,125.0
14.0,126.0
14.0,128.0
14.0,129.0
14.0,130.0
14.0,154.0
16.0,123.0
16.0,126.0
16.0,128.0
16.0,130.0
18.0,-167.0
18.0,-157.0
18.0,-146.0
18.0,108.0
18.0,124.0
18.0,125.0
18.0,126.0
18.0,132.0
18.0,135.0
18.0,136.0
20.0,-180.0
20.0,-163.0
20.0,-147.0
20.0,131.0
20.0,147.0
22.0,-151.0
22.0,114.0
22.0,127.0
22.0,133.0
22.0,138.0
22.0,144.0
22.0,145.0
22.0,146.0
24.0,-171.0
24.0,128.0
24.0,132.0
24.0,135.0
24.0,143.0
26.0,-158.0
26.0,-157.0
26.0,132.0
26.0,141.0
28.0,-181.0
28.0,-175.0
28.0,-165.0
28.0,-155.0
28.0,-77.0
28.0,-11.0
28.0,130.0
28.0,138.0
30.0,-176.0
30.0,-170.0
30.0,-162.0
30.0,-157.0
30.0,131.0
30.0,133.0
30.0,137.0
32.0,-179.0
32.0,-164.0
32.0,-160.0
32.0,-157.0
34.0,-192.0
34.0,-162.0
34.0,-161.0
34.0,133.0
34.0,134.0
36.0,-197.0
36.0,-174.0
36.0,-173.0
36.0,-155.0
36.0,-64.0
36.0,136.0
36.0,137.0
38.0,-201.0
38.0,-171.0
38.0,-170.0
38.0,-165.0
38.0,131.0
38.0,137.0
40.0,-188.0
40.0,-169.0
40.0,7.0
40.0,127.0
40.0,130.0
42.0,-182.0
42.0,-181.0
42.0,-169.0
42.0,-167.0
42.0,-166.0
42.0,124.0
42.0,125.0
44.0,-184.0
44.0,-174.0
44.0,-173.0
44.0,-171.0
44.0,-170.0
44.0,-138.0
44.0,-106.0
44.0,122.0
44.0,123.0
46.0,-185.0
46.0,-46.0
48.0,-148.0
48.0,-128.0
48.0,-99.0
48.0,-98.0
50.0,-195.0
50.0,-187.0
50.0,-176.0
50.0,-175.0
50.0,-148.0
50.0,-147.0
50.0,-121.0
50.0,-96.0
50.0,-38.0
50.0,57.0
52.0,-215.0
52.0,-181.0
52.0,-124.0
52.0,-32.0
52.0,-31.0
52.0,-28.0
52.0,111.0
54.0,-209.0
54.0,-195.0
54.0,-164.0
54.0,-153.0
56.0,-209.0
56.0,-178.0
56.0,-142.0
56.0,-117.0
56.0,-116.0
56.0,-81.0
58.0,-193.0
58.0,-157.0
58.0,-117.0
58.0,-116.0
58.0,-79.0
