nail_a,nail_b
0,89
89,159
159,227
227,106
106,167
167,230
230,101
101,165
165,231
231,102
102,166
166,234
234,106
106,166
166,230
230,106
106,161
161,230
230,105
105,165
165,234
234,105
105,163
163,231
231,86
86,162
162,231
231,105
105,167
167,229
229,105
105,164
164,230
230,103
103,165
165,230
230,100
100,164
164,232
232,105
105,162
162,234
234,108
108,213
213,46
46,159
159,233
233,86
86,160
160,226
226,56
56,172
172,235
235,107
107,214
214,48
48,158
158,228
228,57
57,174
174,230
230,108
108,164
164,227
227,105
105,212
212,45
45,158
158,224
224,55
55,172
172,230
230,88
88,161
161,233
233,85
85,158
158,227
227,56
56,175
175,228
228,106
106,169
169,234
234,107
107,164
164,235
235,105
105,181
181,52
52,165
165,227
227,100
100,170
170,233
233,90
90,161
161,231
231,85
85,157
157,223
223,54
54,173
173,226
226,54
54,171
171,233
233,107
107,166
166,229
229,106
106,168
168,235
235,85
85,159
159,219
219,57
57,144
144,219
219,54
54,143
143,220
220,52
52,171
171,229
229,60
60,148
148,218
218,53
53,171
171,234
234,102
102,181
181,49
49,158
158,216
216,49
49,167
167,221
221,53
53,169
169,227
227,98
98,167
167,234
234,89
89,179
179,48
48,151
151,220
220,50
50,160
160,227
227,104
104,159
159,228
228,58
58,143
143,223
223,49
49,161
161,227
227,87
87,158
158,214
214,46
46,157
157,227
227,101
101,210
210,44
44,154
154,214
214,47
47,164
164,234
234,104
104,213
213,47
47,156
156,224
224,50
50,150
150,212
212,44
44,156
156,211
211,44
44,158
158,231
231,90
90,186
186,31
31,143
143,210
210,45
45,161
161,224
224,56
56,147
147,220
220,51
51,150
150,217
217,56
56,145
145,220
220,59
59,143
143,208
208,44
44,162
162,227
227,103
103,166
166,237
237,85
85,161
161,216
216,54
54,147
147,218
218,55
55,147
147,210
210,42
42,155
155,222
222,51
51,148
148,214
214,45
45,151
151,206
206,42
42,153
153,224
224,103
103,215
215,53
53,153
153,210
210,43
43,159
159,211
211,46
46,150
150,208
208,43
43,162
162,236
236,85
85,156
156,220
220,54
54,148
148,209
209,44
44,148
148,215
215,45
45,160
160,209
209,42
42,160
160,234
234,90
90,183
183,39
39,153
153,214
214,52
52,147
147,227
227,88
88,176
176,230
230,90
90,160
160,223
223,55
55,144
144,221
221,61
61,145
145,216
216,51
51,153
153,207
207,43
43,161
161,211
211,45
45,147
147,224
224,102
102,177
177,228
228,87
87,160
160,230
230,86
86,161
161,217
217,48
48,167
167,225
225,52
52,144
144,217
217,50
50,155
155,211
211,43
43,149
149,205
205,41
41,158
158,218
218,52
52,145
145,225
225,55
55,145
145,219
219,60
60,143
143,222
222,100
100,209
209,41
41,154
154,220
220,58
58,144
144,214
214,51
51,147
147,216
216,56
56,142
142,219
219,64
64,147
147,207
207,43
43,156
156,217
217,53
53,143
143,218
218,47
47,148
148,206
206,41
41,160
160,213
213,45
45,148
148,211
211,49
49,153
153,204
204,39
39,154
154,216
216,48
48,146
146,224
224,100
100,210
210,47
47,157
157,215
215,55
55,146
146,216
216,46
46,149
149,202
202,39
39,149
149,209
209,43
43,157
157,210
210,49
49,149
149,218
218,58
58,140
140,221
221,100
100,159
159,234
234,101
101,214
214,55
55,143
143,224
224,89
89,168
168,237
237,81
81,157
157,208
208,42
42,151
151,203
203,42
42,154
154,212
212,46
46,147
147,221
221,49
49,145
145,212
212,42
42,148
